Tiempo,Valor
0,128
0.000392,131
0.000784,134
0.001176,137
0.001568,140
0.00196,143
0.002352,146
0.002744,149
0.003136,152
0.003528,156
0.00392,159
0.004312,162
0.004704,165
0.005096,168
0.005488,171
0.00588,174
0.006272,176
0.006664,179
0.007056,182
0.007448,185
0.00784,188
0.008232,191
0.008624,193
0.009016,196
0.009408,199
0.0098,201
0.010192,204
0.010584,206
0.010976,209
0.011368,211
0.01176,213
0.012152,216
0.012544,218
0.012936,220
0.013328,222
0.01372,224
0.014112,226
0.014504,228
0.014896,230
0.015288,232
0.01568,234
0.016072,235
0.016464,237
0.016856,239
0.017248,240
0.01764,242
0.018032,243
0.018424,244
0.018816,246
0.019208,247
0.0196,248
0.019992,249
0.020384,250
0.020776,251
0.021168,251
0.02156,252
0.021952,253
0.022344,253
0.022736,254
0.023128,254
0.02352,254
0.023912,255
0.024304,255
0.024696,255
0.025088,255
0.02548,255
0.025872,255
0.026264,255
0.026656,254
0.027048,254
0.02744,253
0.027832,253
0.028224,252
0.028616,252
0.029008,251
0.0294,250
0.029792,249
0.030184,248
0.030576,247
0.030968,246
0.03136,245
0.031752,244
0.032144000000000006,242
0.03253600000000001,241
0.03292800000000001,239
0.033320000000000016,238
0.03371200000000002,236
0.03410400000000002,235
0.03449600000000003,233
0.03488800000000003,231
0.035280000000000034,229
0.03567200000000004,227
0.03606400000000004,225
0.036456000000000044,223
0.03684800000000005,221
0.03724000000000005,219
0.037632000000000054,217
0.03802400000000006,215
0.03841600000000006,212
0.038808000000000065,210
0.03920000000000007,207
0.03959200000000007,205
0.039984000000000075,202
0.04037600000000008,200
0.04076800000000008,197
0.041160000000000085,195
0.04155200000000009,192
0.04194400000000009,189
0.042336000000000096,186
0.0427280000000001,184
0.0431200000000001,181
0.043512000000000106,178
0.04390400000000011,175
0.04429600000000011,172
0.044688000000000117,169
0.04508000000000012,166
0.04547200000000012,163
0.04586400000000013,160
0.04625600000000013,157
0.046648000000000134,154
0.04704000000000014,151
0.04743200000000014,148
0.047824000000000144,145
0.04821600000000015,142
0.04860800000000015,138
0.049000000000000155,135
0.04939200000000016,132
0.04978400000000016,129
0.050176000000000165,126
0.05056800000000017,123
0.05096000000000017,120
0.051352000000000175,117
0.05174400000000018,113
0.05213600000000018,110
0.052528000000000186,107
0.05292000000000019,104
0.05331200000000019,101
0.053704000000000196,98
0.0540960000000002,95
0.0544880000000002,92
0.054880000000000206,89
0.05527200000000021,86
0.05566400000000021,83
0.05605600000000022,80
0.05644800000000022,77
0.056840000000000224,74
0.05723200000000023,71
0.05762400000000023,69
0.058016000000000234,66
0.05840800000000024,63
0.05880000000000024,60
0.059192000000000244,58
0.05958400000000025,55
0.05997600000000025,53
0.060368000000000255,50
0.06076000000000026,48
0.06115200000000026,45
0.061544000000000265,43
0.06193600000000027,40
0.06232800000000027,38
0.06272000000000028,36
0.06311200000000028,34
0.06350400000000028,32
0.06389600000000029,30
0.06428800000000029,28
0.06468000000000029,26
0.0650720000000003,24
0.0654640000000003,22
0.0658560000000003,20
0.0662480000000003,19
0.06664000000000031,17
0.06703200000000031,16
0.06742400000000032,14
0.06781600000000032,13
0.06820800000000032,11
0.06860000000000033,10
0.06899200000000033,9
0.06938400000000033,8
0.06977600000000034,7
0.07016800000000034,6
0.07056000000000034,5
0.07095200000000035,4
0.07134400000000035,3
0.07173600000000036,3
0.07212800000000036,2
0.07252000000000036,2
0.07291200000000037,1
0.07330400000000037,1
0.07369600000000037,0
0.07408800000000038,0
0.07448000000000038,0
0.07487200000000038,0
0.07526400000000039,0
0.07565600000000039,0
0.0760480000000004,0
0.0764400000000004,1
0.0768320000000004,1
0.0772240000000004,1
0.0776160000000004,2
0.07800800000000041,2
0.07840000000000041,3
0.07879200000000042,4
0.07918400000000042,4
0.07957600000000042,5
0.07996800000000043,6
0.08036000000000043,7
0.08075200000000043,8
0.08114400000000044,9
0.08153600000000044,11
0.08192800000000044,12
0.08232000000000045,13
0.08271200000000045,15
0.08310400000000046,16
0.08349600000000046,18
0.08388800000000046,20
0.08428000000000047,21
0.08467200000000047,23
